Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [11, 700, 1182, 7], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [11, 698, 1181, 7], ""is_host"": false}]","{""ksize"": [1, 3, 2, 1], ""strides"": [1, 1, 1, 1], ""padding"": ""VALID"", ""data_format"": ""NHWC""}","""11,1,700,1182,16""",FLOAT16,NC1HWC0,"""11,1,698,1181,16""",FLOAT16,NC1HWC0,2,27359.4375,0.0,0.305397,0.021256,0.0,0.803267,0.429502
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [69, 458, 679, 3], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [69, 114, 225, 3], ""is_host"": false}]","{""ksize"": [1, 5, 5, 1], ""strides"": [1, 4, 3, 1], ""padding"": ""VALID"", ""data_format"": ""NHWC""}","""69,1,458,679,16""",FLOAT16,NC1HWC0,"""69,1,114,225,16""",FLOAT16,NC1HWC0,2,21759.578676,0.0,0.418645,0.063725,0.0,0.664118,0.150125
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [18, 157, 821, 24], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [18, 78, 273, 24], ""is_host"": false}]","{""ksize"": [1, 3, 4, 1], ""strides"": [1, 2, 3, 1], ""padding"": ""VALID"", ""data_format"": ""NHWC""}","""18,2,157,821,16""",FLOAT16,NC1HWC0,"""18,2,78,273,16""",FLOAT16,NC1HWC0,2,5096.025,0.0,0.308125,0.113174,0.0,0.762439,0.224083
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [34, 1026, 166, 6], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [34, 1026, 33, 6], ""is_host"": false}]","{""ksize"": [1, 1, 3, 1], ""strides"": [1, 1, 5, 1], ""padding"": ""VALID"", ""data_format"": ""NHWC""}","""34,1,1026,166,16""",FLOAT16,NC1HWC0,"""34,1,1026,33,16""",FLOAT16,NC1HWC0,2,4576.179412,0.0,0.197699,0.043483,0.0,0.997885,0.412232
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [84, 616, 401, 3], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [84, 614, 134, 3], ""is_host"": false}]","{""ksize"": [1, 3, 2, 1], ""strides"": [1, 1, 3, 1], ""padding"": ""VALID"", ""data_format"": ""NHWC""}","""84,1,616,401,16""",FLOAT16,NC1HWC0,"""84,1,614,134,16""",FLOAT16,NC1HWC0,2,31734.230147,0.0,0.193629,0.034917,0.0,0.99952,0.459921
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [24, 212, 270, 45], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [24, 212, 270, 45], ""is_host"": false}]","{""ksize"": [1, 4, 3, 1], ""strides"": [1, 1, 1, 1], ""padding"": ""SAME"", ""data_format"": ""NHWC""}","""24,3,212,270,16""",FLOAT16,NC1HWC0,"""24,3,212,270,16""",FLOAT16,NC1HWC0,2,13905.623529,0.0,0.717544,0.389793,0.0,0.987328,0.578959
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [40, 679, 162, 12], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [40, 169, 32, 12], ""is_host"": false}]","{""ksize"": [1, 5, 3, 1], ""strides"": [1, 4, 5, 1], ""padding"": ""VALID"", ""data_format"": ""NHWC""}","""40,1,679,162,16""",FLOAT16,NC1HWC0,"""40,1,169,32,16""",FLOAT16,NC1HWC0,2,3193.994853,0.0,0.181271,0.030952,0.0,0.998415,0.19472
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [5, 1988, 147, 24], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [5, 994, 36, 24], ""is_host"": false}]","{""ksize"": [1, 2, 5, 1], ""strides"": [1, 2, 4, 1], ""padding"": ""VALID"", ""data_format"": ""NHWC""}","""5,2,1988,147,16""",FLOAT16,NC1HWC0,"""5,2,994,36,16""",FLOAT16,NC1HWC0,2,1956.396324,0.0,0.484289,0.047584,0.0,0.996599,0.334661
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [73, 737, 94, 12], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [73, 737, 47, 12], ""is_host"": false}]","{""ksize"": [1, 5, 2, 1], ""strides"": [1, 1, 2, 1], ""padding"": ""SAME"", ""data_format"": ""NHWC""}","""73,1,737,94,16""",FLOAT16,NC1HWC0,"""73,1,737,47,16""",FLOAT16,NC1HWC0,2,6265.459559,0.0,0.440501,0.0264,0.0,0.996216,0.542795
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [46, 865, 1330, 1], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [46, 173, 266, 1], ""is_host"": false}]","{""ksize"": [1, 1, 3, 1], ""strides"": [1, 5, 5, 1], ""padding"": ""VALID"", ""data_format"": ""NHWC""}","""46,1,865,1330,16""",FLOAT16,NC1HWC0,"""46,1,173,266,16""",FLOAT16,NC1HWC0,2,8425.309559,0.0,0.216299,0.031558,0.0,0.998949,0.548142
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [7, 484, 617, 19], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [7, 241, 205, 19], ""is_host"": false}]","{""ksize"": [1, 4, 3, 1], ""strides"": [1, 2, 3, 1], ""padding"": ""VALID"", ""data_format"": ""NHWC""}","""7,2,484,617,16""",FLOAT16,NC1HWC0,"""7,2,241,205,16""",FLOAT16,NC1HWC0,2,4874.869118,0.0,0.276949,0.022156,0.0,0.826547,0.232558
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [86, 824, 202, 2], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [86, 165, 41, 2], ""is_host"": false}]","{""ksize"": [1, 2, 2, 1], ""strides"": [1, 5, 5, 1], ""padding"": ""SAME"", ""data_format"": ""NHWC""}","""86,1,824,202,16""",FLOAT16,NC1HWC0,"""86,1,165,41,16""",FLOAT16,NC1HWC0,2,7951.144853,0.0,0.097226,0.024897,0.0,0.998512,0.272832
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [6, 187, 1519, 20], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [6, 92, 505, 20], ""is_host"": false}]","{""ksize"": [1, 5, 5, 1], ""strides"": [1, 2, 3, 1], ""padding"": ""VALID"", ""data_format"": ""NHWC""}","""6,2,187,1519,16""",FLOAT16,NC1HWC0,"""6,2,92,505,16""",FLOAT16,NC1HWC0,2,7273.641912,0.0,0.396975,0.120456,0.0,0.666614,0.143451
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [26, 595, 183, 13], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [26, 298, 183, 13], ""is_host"": false}]","{""ksize"": [1, 2, 3, 1], ""strides"": [1, 2, 1, 1], ""padding"": ""SAME"", ""data_format"": ""NHWC""}","""26,1,595,183,16""",FLOAT16,NC1HWC0,"""26,1,298,183,16""",FLOAT16,NC1HWC0,2,2882.141912,0.0,0.607458,0.069039,0.0,0.993005,0.761176
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [33, 953, 534, 3], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [33, 239, 107, 3], ""is_host"": false}]","{""ksize"": [1, 1, 2, 1], ""strides"": [1, 4, 5, 1], ""padding"": ""SAME"", ""data_format"": ""NHWC""}","""33,1,953,534,16""",FLOAT16,NC1HWC0,"""33,1,239,107,16""",FLOAT16,NC1HWC0,2,3432.458088,0.0,0.194298,0.065214,0.0,0.999159,0.754024
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [66, 28, 865, 21], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [66, 12, 288, 21], ""is_host"": false}]","{""ksize"": [1, 5, 3, 1], ""strides"": [1, 2, 3, 1], ""padding"": ""VALID"", ""data_format"": ""NHWC""}","""66,2,28,865,16""",FLOAT16,NC1HWC0,"""66,2,12,288,16""",FLOAT16,NC1HWC0,2,5333.833824,0.0,0.228845,0.00829,0.0,0.836306,0.17841
