Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [67, 1019, 811], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 542}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [67, 1019, 542], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [67, 1019, 542], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""67,1019,811;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""67,1019,542;67,1019,542""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,215754.658088,0.0,0.940573,0.068333,0.0,0.029471,0.077237
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1495, 1386], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 1327}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1495, 1327], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1495, 1327], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""1495,1386;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""1495,1327;1495,1327""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,9710.255882,0.0,0.957354,0.052146,0.0,0.031795,0.053545
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [51, 223, 166, 28], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 17}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [51, 223, 166, 17], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [51, 223, 166, 17], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""51,223,166,28;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""51,223,166,17;51,223,166,17""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,531566.645588,0.0,0.326139,0.340083,0.0,0.04097,0.543181
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1714, 815], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 767}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1714, 767], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1714, 767], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""1714,815;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""1714,767;1714,767""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,5379.0,0.0,0.947144,0.059476,0.0,0.030296,0.084113
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [239, 15, 16, 46, 16], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 16}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [239, 15, 16, 46, 16], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [239, 15, 16, 46, 16], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""239,15,16,46,16;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""239,15,16,46,16;239,15,16,46,16""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,179586.838235,0.0,0.552668,0.661098,0.0,0.129878,0.229366
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1940, 592], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 244}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1940, 244], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1940, 244], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""1940,592;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""1940,244;1940,244""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,4527.620588,0.0,0.940196,0.064482,0.0,0.020036,0.093467
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1267, 511], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 18}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1267, 18], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1267, 18], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""1267,511;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""1267,18;1267,18""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,2530.554412,0.0,0.937675,0.082675,0.0,0.027253,0.084799
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [78, 138, 5, 27, 29], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 28}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [78, 138, 5, 27, 28], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [78, 138, 5, 27, 28], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""78,138,5,27,29;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""78,138,5,27,28;78,138,5,27,28""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,387647.816176,0.0,0.344197,0.331421,0.0,0.044783,0.542203
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [47, 15, 218, 231], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 178}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [47, 15, 218, 178], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [47, 15, 218, 178], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""47,15,218,231;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""47,15,218,178;47,15,218,178""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,140625.907353,0.0,0.812452,0.212463,0.0,0.031012,0.202504
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [80, 6, 106, 60, 16], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1], ""is_host"": true, ""value"": 16}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [80, 6, 106, 60, 16], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [80, 6, 106, 60, 16], ""is_host"": false}]","{""sorted"": true, ""largest"": true, ""dim"": -1}","""80,6,106,60,16;8192""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""80,6,106,60,16;80,6,106,60,16""",FLOAT16;INT32,FORMAT_ND;FORMAT_ND,2,207455.455882,0.0,0.553535,0.662147,0.0,0.128538,0.229712
