Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [286], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [286], ""is_host"": false}]",{},"""286""",INT32,FORMAT_ND,"""286""",INT32,FORMAT_ND,1,2.1,0.0,0.021709,0.160364,0.0,0.346639,0.240896
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [286], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [286], ""is_host"": false}]",{},"""286""",FLOAT16,FORMAT_ND,"""286""",FLOAT16,FORMAT_ND,1,1.611765,0.0,0.02646,0.341241,0.0,0.25365,0.180657
"[{""format"": ""ND"", ""dtype"": ""int8"", ""shape"": [286], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int8"", ""shape"": [286], ""is_host"": false}]",{},"""286""",INT8,FORMAT_ND,"""286""",INT8,FORMAT_ND,1,2.120588,0.0,0.040222,0.472954,0.0,0.23509,0.135229
"[{""format"": ""ND"", ""dtype"": ""uint8"", ""shape"": [286], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""uint8"", ""shape"": [286], ""is_host"": false}]",{},"""286""",UINT8,FORMAT_ND,"""286""",UINT8,FORMAT_ND,1,2.195588,0.0,0.038848,0.456798,0.0,0.186202,0.13061
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [669], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [669], ""is_host"": false}]",{},"""669""",INT32,FORMAT_ND,"""669""",INT32,FORMAT_ND,2,1.997059,0.0,0.023564,0.174153,0.0,0.382548,0.261414
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [669], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [669], ""is_host"": false}]",{},"""669""",FLOAT16,FORMAT_ND,"""669""",FLOAT16,FORMAT_ND,1,1.367647,0.0,0.034409,0.402151,0.0,0.298925,0.231183
"[{""format"": ""ND"", ""dtype"": ""int8"", ""shape"": [669], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int8"", ""shape"": [669], ""is_host"": false}]",{},"""669""",INT8,FORMAT_ND,"""669""",INT8,FORMAT_ND,1,2.026471,0.0,0.046444,0.494194,0.0,0.203193,0.145864
"[{""format"": ""ND"", ""dtype"": ""uint8"", ""shape"": [669], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""uint8"", ""shape"": [669], ""is_host"": false}]",{},"""669""",UINT8,FORMAT_ND,"""669""",UINT8,FORMAT_ND,1,2.036765,0.0,0.046209,0.492419,0.0,0.201444,0.145126
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [116, 440, 180], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [116, 440, 180], ""is_host"": false}]",{},"""116,440,180""",INT32,FORMAT_ND,"""116,440,180""",INT32,FORMAT_ND,2,762.475735,0.0,0.000392,0.012015,0.0,0.995565,0.9883
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [116, 440, 180], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [116, 440, 180], ""is_host"": false}]",{},"""116,440,180""",FLOAT16,FORMAT_ND,"""116,440,180""",FLOAT16,FORMAT_ND,2,371.6625,0.0,0.000965,0.013461,0.0,0.945034,0.994747
"[{""format"": ""ND"", ""dtype"": ""int8"", ""shape"": [116, 440, 180], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int8"", ""shape"": [116, 440, 180], ""is_host"": false}]",{},"""116,440,180""",INT8,FORMAT_ND,"""116,440,180""",INT8,FORMAT_ND,2,264.188235,0.0,0.215199,0.016677,0.0,0.212296,0.775405
