Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [23, 318, 671, 12], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [23, 1, 1, 12], ""is_host"": false}]","{""ksize"": [1, 318, 671, 1], ""strides"": [1, 1, 1, 1], ""padding_mode"": ""VALID"", ""pads"": [0, 0, 0, 0], ""data_format"": ""NHWC"", ""global_pooling"": true, ""ceil_mode"": false}","""23,1,318,671,16""",FLOAT16,NC1HWC0,"""23,1,1,1,16""",FLOAT16,NC1HWC0,23,6262.542967,0.0,0.915147,0.677491,0.0,0.42423,0.000218
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [8, 1156, 571, 6], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [8, 1, 1, 6], ""is_host"": false}]","{""ksize"": [1, 1156, 571, 1], ""strides"": [1, 1, 1, 1], ""padding_mode"": ""VALID"", ""pads"": [0, 0, 0, 0], ""data_format"": ""NHWC"", ""global_pooling"": true, ""ceil_mode"": false}","""8,1,1156,571,16""",FLOAT16,NC1HWC0,"""8,1,1,1,16""",FLOAT16,NC1HWC0,2,6403.935294,0.0,0.919103,0.689054,0.0,0.305403,0.000173
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [28, 194, 240, 28], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [28, 1, 1, 28], ""is_host"": false}]","{""ksize"": [1, 194, 240, 1], ""strides"": [1, 1, 1, 1], ""padding_mode"": ""VALID"", ""pads"": [0, 0, 0, 0], ""data_format"": ""NHWC"", ""global_pooling"": true, ""ceil_mode"": false}","""28,2,194,240,16""",FLOAT16,NC1HWC0,"""28,2,1,1,16""",FLOAT16,NC1HWC0,2,3459.008824,0.0,0.912311,0.483687,0.0,0.450157,0.001146
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [78, 1809, 177, 2], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [78, 905, 45, 2], ""is_host"": false}]","{""ksize"": [1, 2, 4, 1], ""strides"": [1, 2, 4, 1], ""padding_mode"": ""VALID"", ""pads"": [0, 0, 0, 0], ""data_format"": ""NHWC"", ""global_pooling"": false, ""ceil_mode"": false}","""78,1,1809,177,16""",FLOAT16,NC1HWC0,"""78,1,905,45,16""",FLOAT16,NC1HWC0,2,18374.189706,0.0,0.310466,0.019564,0.0,0.998388,0.345819
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [5, 434, 1218, 15], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [5, 1, 1, 15], ""is_host"": false}]","{""ksize"": [1, 434, 1218, 1], ""strides"": [1, 1, 1, 1], ""padding_mode"": ""VALID"", ""pads"": [0, 0, 0, 0], ""data_format"": ""NHWC"", ""global_pooling"": true, ""ceil_mode"": false}","""5,1,434,1218,16""",FLOAT16,NC1HWC0,"""5,1,1,1,16""",FLOAT16,NC1HWC0,5,3847.447059,0.0,0.917035,0.687137,0.0,0.411095,0.000135
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [26, 217, 307, 22], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [26, 217, 307, 22], ""is_host"": false}]","{""ksize"": [1, 2, 1, 1], ""strides"": [1, 1, 1, 1], ""padding_mode"": ""VALID"", ""pads"": [0, 0, 0, 0], ""data_format"": ""NHWC"", ""global_pooling"": false, ""ceil_mode"": false}","""26,2,217,307,16""",FLOAT16,NC1HWC0,"""26,2,217,307,16""",FLOAT16,NC1HWC0,2,7042.705147,0.0,0.40154,0.05039,0.0,0.999307,0.848224
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [66, 196, 794, 6], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [66, 1, 1, 6], ""is_host"": false}]","{""ksize"": [1, 196, 794, 1], ""strides"": [1, 1, 1, 1], ""padding_mode"": ""VALID"", ""pads"": [0, 0, 0, 0], ""data_format"": ""NHWC"", ""global_pooling"": true, ""ceil_mode"": false}","""66,1,196,794,16""",FLOAT16,NC1HWC0,"""66,1,1,1,16""",FLOAT16,NC1HWC0,2,12144.531618,0.0,0.913652,0.705478,0.0,0.300155,0.000412
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [12, 529, 212, 30], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [12, 1, 1, 30], ""is_host"": false}]","{""ksize"": [1, 529, 212, 1], ""strides"": [1, 1, 1, 1], ""padding_mode"": ""VALID"", ""pads"": [0, 0, 0, 0], ""data_format"": ""NHWC"", ""global_pooling"": true, ""ceil_mode"": false}","""12,2,529,212,16""",FLOAT16,NC1HWC0,"""12,2,1,1,16""",FLOAT16,NC1HWC0,2,4286.3,0.0,0.911529,0.068227,0.0,0.597424,0.00039
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [92, 434, 114, 3], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [92, 1, 1, 3], ""is_host"": false}]","{""ksize"": [1, 434, 114, 1], ""strides"": [1, 1, 1, 1], ""padding_mode"": ""VALID"", ""pads"": [0, 0, 0, 0], ""data_format"": ""NHWC"", ""global_pooling"": true, ""ceil_mode"": false}","""92,1,434,114,16""",FLOAT16,NC1HWC0,"""92,1,1,1,16""",FLOAT16,NC1HWC0,2,5544.527206,0.0,0.904536,0.683768,0.0,0.289928,0.001122
"[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [61, 323, 496, 6], ""is_host"": false}]","[{""format"": ""NHWC"", ""dtype"": ""float16"", ""shape"": [61, 162, 496, 6], ""is_host"": false}]","{""ksize"": [1, 6, 1, 1], ""strides"": [1, 2, 1, 1], ""padding_mode"": ""VALID"", ""pads"": [0, 0, 0, 0], ""data_format"": ""NHWC"", ""global_pooling"": false, ""ceil_mode"": false}","""61,1,323,496,16""",FLOAT16,NC1HWC0,"""61,1,162,496,16""",FLOAT16,NC1HWC0,2,26934.636765,0.0,0.414903,0.022225,0.0,0.781046,0.28336
