Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [879, 1516], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [879, 1516], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [879, 1516], ""is_host"": false}]","{""reduction"": ""none""}","""879,1516;879,1516""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""879,1516""",FLOAT16,FORMAT_ND,2,10866.641912,0.0,0.925381,0.424409,0.0,0.016289,0.006731
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1884], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1884], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1884], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1884], ""is_host"": false}]","{""reduction"": ""none""}","""1884;1884;1884""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""1884""",FLOAT,FORMAT_ND,2,31.399265,0.0,0.784722,0.121584,0.0,0.07969,0.013348
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [979], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [979], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1], ""is_host"": false}]","{""reduction"": ""sum""}","""979;979""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""""",FLOAT16,FORMAT_ND,1,30.219118,0.0,0.828799,0.110662,0.0,0.040245,0.004672
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1949], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1949], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1949], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1], ""is_host"": false}]","{""reduction"": ""sum""}","""1949;1949;1949""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""""",FLOAT,FORMAT_ND,1,45.417647,0.0,0.87942,0.18971,0.0,0.040409,0.003108
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1281], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1281], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1281], ""is_host"": false}]","{""reduction"": ""none""}","""1281;1281""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""1281""",FLOAT16,FORMAT_ND,2,21.264706,0.0,0.771231,0.119053,0.0,0.048824,0.021058
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [161], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [161], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [161], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1], ""is_host"": false}]","{""reduction"": ""sum""}","""161;161;161""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""""",FLOAT,FORMAT_ND,1,18.194118,0.0,0.777643,0.061025,0.0,0.061106,0.026592
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1031, 1724], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1031, 1724], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1031, 1724], ""is_host"": false}]","{""reduction"": ""none""}","""1031,1724;1031,1724""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""1031,1724""",FLOAT16,FORMAT_ND,2,14526.322059,0.0,0.92554,0.423638,0.0,0.015677,0.006711
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1204], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1204], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1], ""is_host"": false}]","{""reduction"": ""mean""}","""1204;1204""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""""",FLOAT,FORMAT_ND,1,35.383824,0.0,0.802876,0.115664,0.0,0.062258,0.008562
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1356], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1356], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1356], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1], ""is_host"": false}]","{""reduction"": ""sum""}","""1356;1356;1356""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""""",FLOAT16,FORMAT_ND,1,36.595588,0.0,0.841551,0.114728,0.0,0.032108,0.01314
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [250, 987], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [250, 987], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [250, 987], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1], ""is_host"": false}]","{""reduction"": ""sum""}","""250,987;250,987;250,987""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""""",FLOAT,FORMAT_ND,1,5124.498529,0.0,0.90859,0.353741,0.0,0.038346,5.9e-05
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [890], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [890], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1], ""is_host"": false}]","{""reduction"": ""mean""}","""890;890""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""""",FLOAT16,FORMAT_ND,1,28.061765,0.0,0.82549,0.110418,0.0,0.046903,0.005031
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [240], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [240], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [240], ""is_host"": false}]","{""reduction"": ""none""}","""240;240""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""240""",FLOAT,FORMAT_ND,1,16.625,0.0,0.751349,0.071207,0.0,0.043697,0.011499
