Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1, 352, 512, 450], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1, 352, 512, 450], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1, 352, 512, 450], ""is_host"": false}]",{},"""1,352,512,450;1,352,512,450""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""1,352,512,450""",INT32,FORMAT_ND,2,23133.320588,0.0,0.091051,0.045538,0.0,0.864123,0.512471
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1, 352, 512, 450], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1, 352, 512, 450], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1, 352, 512, 450], ""is_host"": false}]",{},"""1,352,512,450;1,352,512,450""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""1,352,512,450""",FLOAT,FORMAT_ND,2,25217.075735,0.0,0.155241,0.041774,0.0,0.803869,0.475351
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1, 352, 512, 450], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1, 352, 512, 450], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1, 352, 512, 450], ""is_host"": false}]",{},"""1,352,512,450;1,352,512,450""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""1,352,512,450""",FLOAT16,FORMAT_ND,2,11781.699265,0.0,0.089455,0.084116,0.0,0.828624,0.482742
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [222, 504, 510], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [222, 504, 510], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [222, 504, 510], ""is_host"": false}]",{},"""222,504,510;222,504,510""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""222,504,510""",INT32,FORMAT_ND,2,14194.784559,0.0,0.102462,0.007742,0.0,0.988796,0.668431
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [222, 504, 510], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [222, 504, 510], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [222, 504, 510], ""is_host"": false}]",{},"""222,504,510;222,504,510""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""222,504,510""",FLOAT,FORMAT_ND,2,14185.830882,0.0,0.103793,0.007747,0.0,0.98686,0.667226
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [222, 504, 510], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [222, 504, 510], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [222, 504, 510], ""is_host"": false}]",{},"""222,504,510;222,504,510""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""222,504,510""",FLOAT16,FORMAT_ND,2,8156.094853,0.0,0.091384,0.083931,0.0,0.825562,0.484476
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [270, 68, 470], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [270, 68, 470], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [270, 68, 470], ""is_host"": false}]",{},"""270,68,470;270,68,470""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""270,68,470""",INT32,FORMAT_ND,2,2414.879412,0.0,0.094545,0.053239,0.0,0.852474,0.487863
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [270, 68, 470], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [270, 68, 470], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [270, 68, 470], ""is_host"": false}]",{},"""270,68,470;270,68,470""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""270,68,470""",FLOAT,FORMAT_ND,2,2605.913235,0.0,0.16197,0.049337,0.0,0.788962,0.454778
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [270, 68, 470], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [270, 68, 470], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [270, 68, 470], ""is_host"": false}]",{},"""270,68,470;270,68,470""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""270,68,470""",FLOAT16,FORMAT_ND,2,1124.523529,0.0,0.053498,0.059865,0.0,0.91126,0.655336
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [160, 180], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [160, 180], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [160, 180], ""is_host"": false}]",{},"""160,180;160,180""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""160,180""",INT32,FORMAT_ND,2,11.388235,0.0,0.035899,0.019434,0.0,0.655475,0.364928
