Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [88], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [88], ""is_host"": false}]",{},"""88""",INT32,FORMAT_ND,"""88""",INT32,FORMAT_ND,1,1.095588,0.0,0.102013,0.119463,0.0,0.389262,0.155705
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [2756], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [2756], ""is_host"": false}]",{},"""2756""",FLOAT16,FORMAT_ND,"""2756""",FLOAT16,FORMAT_ND,2,2.334559,0.0,0.074961,0.248189,0.0,0.362205,0.199685
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [2756], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [2756], ""is_host"": false}]",{},"""2756""",FLOAT,FORMAT_ND,"""2756""",FLOAT,FORMAT_ND,2,2.921324,0.0,0.088095,0.125849,0.0,0.319154,0.41933
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [2756], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [2756], ""is_host"": false}]",{},"""2756""",INT32,FORMAT_ND,"""2756""",INT32,FORMAT_ND,2,1.896324,0.0,0.131834,0.193098,0.0,0.384645,0.22722
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [124, 1, 432, 1, 3086], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [124, 1, 432, 1, 3086], ""is_host"": false}]",{},"""124,1,432,1,3086""",FLOAT16,FORMAT_ND,"""124,1,432,1,3086""",FLOAT16,FORMAT_ND,2,14008.627941,0.0,0.244795,0.009938,0.0,0.999557,0.90814
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [124, 1, 432, 1, 3086], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [124, 1, 432, 1, 3086], ""is_host"": false}]",{},"""124,1,432,1,3086""",FLOAT,FORMAT_ND,"""124,1,432,1,3086""",FLOAT,FORMAT_ND,2,28035.844118,0.0,0.308441,0.009157,0.0,0.999845,0.900848
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [124, 1, 432, 1, 3086], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [124, 1, 432, 1, 3086], ""is_host"": false}]",{},"""124,1,432,1,3086""",INT32,FORMAT_ND,"""124,1,432,1,3086""",INT32,FORMAT_ND,2,28167.520588,0.0,0.234923,0.007667,0.0,0.999796,0.903984
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1565, 36, 2326], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1565, 36, 2326], ""is_host"": false}]",{},"""1565,36,2326""",FLOAT16,FORMAT_ND,"""1565,36,2326""",FLOAT16,FORMAT_ND,2,11136.830147,0.0,0.244098,0.009951,0.0,0.999661,0.894632
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1565, 36, 2326], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1565, 36, 2326], ""is_host"": false}]",{},"""1565,36,2326""",FLOAT,FORMAT_ND,"""1565,36,2326""",FLOAT,FORMAT_ND,2,22277.049265,0.0,0.307721,0.00983,0.0,0.999766,0.880236
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1565, 36, 2326], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1565, 36, 2326], ""is_host"": false}]",{},"""1565,36,2326""",INT32,FORMAT_ND,"""1565,36,2326""",INT32,FORMAT_ND,2,22387.039706,0.0,0.234319,0.008269,0.0,0.99978,0.86919
