Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
"[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [13, 34, 44, 21, 53], ""is_host"": false}]","[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [13, 34, 15, 7, 53], ""is_host"": false}]","{""ksize"": [1, 2, 7, 5, 1], ""strides"": [1, 1, 3, 3, 1], ""padding"": ""SAME"", ""pads"": [0, 0, 0, 0, 0, 0], ""dilation"": [1, 1, 1, 1, 1, 1], ""ceil_mode"": 0, ""data_format"": ""NDHWC""}","""13,34,4,44,21,16""",FLOAT16,NDC1HWC0,"""13,34,4,15,7,16""",FLOAT16,NDC1HWC0,2,5378.819853,0.0,0.471891,0.057901,0.0,0.66594,0.105008
"[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [18, 42, 93, 25, 21], ""is_host"": false}]","[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [18, 18, 92, 19, 21], ""is_host"": false}]","{""ksize"": [1, 7, 2, 7, 1], ""strides"": [1, 2, 1, 1, 1], ""padding"": ""VALID"", ""pads"": [0, 0, 0, 0, 0, 0], ""dilation"": [1, 1, 1, 1, 1, 1], ""ceil_mode"": 0, ""data_format"": ""NDHWC""}","""18,42,2,93,25,16""",FLOAT16,NDC1HWC0,"""18,18,2,92,19,16""",FLOAT16,NDC1HWC0,2,52613.681618,0.0,0.80316,0.080413,0.0,0.270964,0.108678
"[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [37, 66, 27, 63, 10], ""is_host"": false}]","[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [37, 21, 8, 30, 10], ""is_host"": false}]","{""ksize"": [1, 4, 4, 5, 1], ""strides"": [1, 3, 3, 2, 1], ""padding"": ""VALID"", ""pads"": [0, 0, 0, 0, 0, 0], ""dilation"": [1, 1, 1, 1, 1, 1], ""ceil_mode"": 1, ""data_format"": ""NDHWC""}","""37,66,1,27,63,16""",FLOAT16,NDC1HWC0,"""37,21,1,8,30,16""",FLOAT16,NDC1HWC0,2,6437.256618,0.0,0.63547,0.078374,0.0,0.452441,0.102026
"[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [5, 18, 40, 39, 41], ""is_host"": false}]","[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [5, 6, 14, 10, 41], ""is_host"": false}]","{""ksize"": [1, 4, 5, 5, 1], ""strides"": [1, 3, 3, 4, 1], ""padding"": ""SAME"", ""pads"": [0, 0, 0, 0, 0, 0], ""dilation"": [1, 1, 1, 1, 1, 1], ""ceil_mode"": 0, ""data_format"": ""NDHWC""}","""5,18,3,40,39,16""",FLOAT16,NDC1HWC0,"""5,6,3,14,10,16""",FLOAT16,NDC1HWC0,2,855.180147,0.0,0.453704,0.09709,0.0,0.564476,0.068977
"[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [46, 77, 42, 23, 10], ""is_host"": false}]","[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [46, 20, 42, 12, 10], ""is_host"": false}]","{""ksize"": [1, 6, 3, 4, 1], ""strides"": [1, 4, 1, 2, 1], ""padding"": ""SAME"", ""pads"": [0, 0, 0, 0, 0, 0], ""dilation"": [1, 1, 1, 1, 1, 1], ""ceil_mode"": 1, ""data_format"": ""NDHWC""}","""46,77,1,42,23,16""",FLOAT16,NDC1HWC0,"""46,20,1,42,12,16""",FLOAT16,NDC1HWC0,2,14356.066176,0.0,0.538717,0.076352,0.0,0.541377,0.11792
"[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [17, 47, 28, 49, 30], ""is_host"": false}]","[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [17, 16, 28, 13, 30], ""is_host"": false}]","{""ksize"": [1, 4, 3, 6, 1], ""strides"": [1, 3, 1, 4, 1], ""padding"": ""SAME"", ""pads"": [0, 0, 0, 0, 0, 0], ""dilation"": [1, 1, 1, 1, 1, 1], ""ceil_mode"": 1, ""data_format"": ""NDHWC""}","""17,47,2,28,49,16""",FLOAT16,NDC1HWC0,"""17,16,2,28,13,16""",FLOAT16,NDC1HWC0,2,7429.591912,0.0,0.537618,0.059521,0.0,0.539975,0.101847
"[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [41, 60, 71, 19, 11], ""is_host"": false}]","[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [41, 59, 17, 16, 11], ""is_host"": false}]","{""ksize"": [1, 2, 5, 4, 1], ""strides"": [1, 1, 4, 1, 1], ""padding"": ""VALID"", ""pads"": [0, 0, 0, 0, 0, 0], ""dilation"": [1, 1, 1, 1, 1, 1], ""ceil_mode"": 1, ""data_format"": ""NDHWC""}","""41,60,1,71,19,16""",FLOAT16,NDC1HWC0,"""41,59,1,17,16,16""",FLOAT16,NDC1HWC0,2,8761.75,0.0,0.730412,0.05161,0.0,0.461834,0.169001
"[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [6, 28, 66, 41, 41], ""is_host"": false}]","[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [6, 28, 66, 14, 41], ""is_host"": false}]","{""ksize"": [1, 2, 2, 5, 1], ""strides"": [1, 1, 1, 3, 1], ""padding"": ""SAME"", ""pads"": [0, 0, 0, 0, 0, 0], ""dilation"": [1, 1, 1, 1, 1, 1], ""ceil_mode"": 0, ""data_format"": ""NDHWC""}","""6,28,3,66,41,16""",FLOAT16,NDC1HWC0,"""6,28,3,66,14,16""",FLOAT16,NDC1HWC0,2,4108.5625,0.0,0.479496,0.071098,0.0,0.613264,0.162024
"[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [17, 38, 88, 37, 25], ""is_host"": false}]","[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [17, 35, 84, 36, 25], ""is_host"": false}]","{""ksize"": [1, 4, 5, 2, 1], ""strides"": [1, 1, 1, 1, 1], ""padding"": ""VALID"", ""pads"": [0, 0, 0, 0, 0, 0], ""dilation"": [1, 1, 1, 1, 1, 1], ""ceil_mode"": 0, ""data_format"": ""NDHWC""}","""17,38,2,88,37,16""",FLOAT16,NDC1HWC0,"""17,35,2,84,36,16""",FLOAT16,NDC1HWC0,2,76195.722794,0.0,0.606747,0.097124,0.0,0.516572,0.140902
"[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [43, 36, 29, 83, 13], ""is_host"": false}]","[{""format"": ""NDHWC"", ""dtype"": ""float16"", ""shape"": [43, 12, 29, 21, 13], ""is_host"": false}]","{""ksize"": [1, 7, 2, 7, 1], ""strides"": [1, 3, 1, 4, 1], ""padding"": ""SAME"", ""pads"": [0, 0, 0, 0, 0, 0], ""dilation"": [1, 1, 1, 1, 1, 1], ""ceil_mode"": 0, ""data_format"": ""NDHWC""}","""43,36,1,29,83,16""",FLOAT16,NDC1HWC0,"""43,12,1,29,21,16""",FLOAT16,NDC1HWC0,2,19727.888971,0.0,0.64563,0.052269,0.0,0.409945,0.076259
